Entity,Year,Fossil fuels per capita (kWh)
Africa,1965,2100.505
Africa,1966,2136.364
Africa,1967,2099.7725
Africa,1968,2145.9302
Africa,1969,2126.871
Africa,1970,2220.0889
Africa,1971,2334.7239
Africa,1972,2389.0298
Africa,1973,2525.8975
Africa,1974,2560.9014
Africa,1975,2640.0945
Africa,1976,2780.9941
Africa,1977,2841.5732
Africa,1978,2877.135
Africa,1979,3049.865
Africa,1980,3215.9644
Africa,1981,3530.2383
Africa,1982,3671.4834
Africa,1983,3710.4407
Africa,1984,3711.4023
Africa,1985,3731.3445
Africa,1986,3678.9912
Africa,1987,3724.4321
Africa,1988,3855.0076
Africa,1989,3742.3813
Africa,1990,3780.0737
Africa,1991,3659.7837
Africa,1992,3637.727
Africa,1993,3570.4348
Africa,1994,3596.0364
Africa,1995,3644.6467
Africa,1996,3639.0806
Africa,1997,3622.4785
Africa,1998,3579.603
Africa,1999,3597.7688
Africa,2000,3576.4358
Africa,2001,3614.2861
Africa,2002,3558.4102
Africa,2003,3661.0227
Africa,2004,3839.8137
Africa,2005,3759.4473
Africa,2006,3734.9402
Africa,2007,3781.9631
Africa,2008,3915.5906
Africa,2009,3879.8503
Africa,2010,3885.9934
Africa,2011,3816.7524
Africa,2012,3882.7617
Africa,2013,3880.7314
Africa,2014,3872.8333
Africa,2015,3857.8232
Africa,2016,3866.2666
Africa,2017,3889.5032
Africa,2018,3877.6396
Africa,2019,3847.18
Africa,2020,3521.9883
Africa,2021,3735.765
Africa,2022,3682.0527
Africa,2023,3564.061
Algeria,1965,1910.1324
Algeria,1966,2281.9224
Algeria,1967,2096.2073
Algeria,1968,2174.2285
Algeria,1969,2406.913
Algeria,1970,2540.1611
Algeria,1971,2746.7256
Algeria,1972,2990.643
Algeria,1973,3450.926
Algeria,1974,3790.4724
Algeria,1975,4413.426
Algeria,1976,4906.019
Algeria,1977,5218.6387
Algeria,1978,6387.1426
Algeria,1979,8129.0176
Algeria,1980,9412.426
Algeria,1981,11064.026
Algeria,1982,12334.725
Algeria,1983,13067.9
Algeria,1984,12099.901
Algeria,1985,11764.669
Algeria,1986,12094.42
Algeria,1987,12027.957
Algeria,1988,12576.017
Algeria,1989,11908.628
Algeria,1990,12327.519
Algeria,1991,11908.999
Algeria,1992,11949.858
Algeria,1993,10855.729
Algeria,1994,10789.64
Algeria,1995,10975.977
Algeria,1996,10678.949
Algeria,1997,10097.629
Algeria,1998,10282.93
Algeria,1999,10242.966
Algeria,2000,9741.336
Algeria,2001,9955.143
Algeria,2002,10175.09
Algeria,2003,10486.486
Algeria,2004,10736.774
Algeria,2005,11065.476
Algeria,2006,11323.462
Algeria,2007,11740.897
Algeria,2008,12229.293
Algeria,2009,12725.983
Algeria,2010,12229.061
Algeria,2011,12680.638
Algeria,2012,13594.317
Algeria,2013,14121.583
Algeria,2014,15090.883
Algeria,2015,15601.193
Algeria,2016,15272.842
Algeria,2017,15126.544
Algeria,2018,15925.02
Algeria,2019,16211.092
Algeria,2020,14888.941
Algeria,2021,15977.151
Algeria,2022,16310.9795
Algeria,2023,15416.595
Argentina,1965,14732.473
Argentina,1966,14975.831
Argentina,1967,15172.235
Argentina,1968,15420.595
Argentina,1969,15718.227
Argentina,1970,14625.065
Argentina,1971,15273.73
Argentina,1972,15226.303
Argentina,1973,15483.363
Argentina,1974,15496.195
Argentina,1975,14680.415
Argentina,1976,15229.681
Argentina,1977,15705.63
Argentina,1978,15132.868
Argentina,1979,15777.248
Argentina,1980,14997.139
Argentina,1981,14269.553
Argentina,1982,14134.874
Argentina,1983,14335.764
Argentina,1984,13912.129
Argentina,1985,13332.522
Argentina,1986,13987.672
Argentina,1987,14362.914
Argentina,1988,15107.617
Argentina,1989,14543.697
Argentina,1990,13467.861
Argentina,1991,13653.088
Argentina,1992,14362.695
Argentina,1993,14261.009
Argentina,1994,14624.844
Argentina,1995,15150.054
Argentina,1996,16071.908
Argentina,1997,15606.976
Argentina,1998,16234.63
Argentina,1999,16688.752
Argentina,2000,16061.652
Argentina,2001,14777.17
Argentina,2002,14038.02
Argentina,2003,15136.219
Argentina,2004,16351.621
Argentina,2005,17161.695
Argentina,2006,17675.01
Argentina,2007,18910.846
Argentina,2008,19009.867
Argentina,2009,17943.129
Argentina,2010,18534.785
Argentina,2011,19097.164
Argentina,2012,19803.955
Argentina,2013,20236.637
Argentina,2014,20020.451
Argentina,2015,20115.785
Argentina,2016,19927.385
Argentina,2017,19680.186
Argentina,2018,19258.883
Argentina,2019,17779.336
Argentina,2020,16376.283
Argentina,2021,18205.441
Argentina,2022,19451.1
Argentina,2023,18648.033
Asia,1965,2602.062
Asia,1966,2794.417
Asia,1967,2862.3647
Asia,1968,2995.9854
Asia,1969,3376.1616
Asia,1970,3779.8667
Asia,1971,4019.5
Asia,1972,4221.0205
Asia,1973,4487.6006
Asia,1974,4429.6562
Asia,1975,4540.2397
Asia,1976,4715.694
Asia,1977,4936.8193
Asia,1978,5120.5146
Asia,1979,5251.255
Asia,1980,5113.958
Asia,1981,5063.1514
Asia,1982,5070.3564
Asia,1983,5243.862
Asia,1984,5483.145
Asia,1985,6306.4126
Asia,1986,6443.869
Asia,1987,6690.783
Asia,1988,7008.3457
Asia,1989,7200.975
Asia,1990,7315.4165
Asia,1991,7483.71
Asia,1992,7708.478
Asia,1993,7864.1055
Asia,1994,8159.6475
Asia,1995,8328.648
Asia,1996,8590.302
Asia,1997,8717.275
Asia,1998,8572.052
Asia,1999,8754.807
Asia,2000,9004.076
Asia,2001,9179.439
Asia,2002,9525.052
Asia,2003,10235.616
Asia,2004,11044.063
